"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"116","부산광역시 사하구 괴정동","4**","단독","8m미만","111.56","61.00","202507","12","14,500","개인","개인","2015","사리로27번길","-","직거래","-"
"117","부산광역시 부산진구 가야동","3**","단독","8m미만","69.42","152.00","202507","12","54,040","개인","개인","1967","대학로","-","중개거래","부산 부산진구"
"118","부산광역시 해운대구 우동","3**","단독","12m미만","192.53","132.00","202507","12","125,000","개인","개인","1989","우동1로20번가길","-","중개거래","부산 해운대구"
"119","부산광역시 영도구 청학동","1**","단독","8m미만","86.00","90.00","202507","11","6,800","개인","개인","1900","청학동로61번길","-","중개거래","부산 영도구"
"120","부산광역시 해운대구 반송동","2**","단독","8m미만","154.05","50.00","202507","11","6,000","개인","개인","2002","아랫반송로21번길","-","중개거래","부산 해운대구"
"121","부산광역시 동구 초량동","2**","단독","25m미만","22.55","22.80","202507","11","51,000","개인","개인","1999","초량상로","-","직거래","-"
"122","부산광역시 수영구 남천동","7*","단독","8m미만","140.04","177.20","202507","11","74,500","개인","개인","1978","남천서로19번길","-","중개거래","대구 서구, 부산 수영구"
"123","부산광역시 금정구 부곡동","7**","단독","8m미만","56.80","172.00","202507","11","55,500","개인","개인","1973","서동로49번길","-","중개거래","부산 금정구"
"124","부산광역시 기장군 장안읍 오리","9**","단독","8m미만","99.39","614.00","202507","11","30,050","개인","개인","2018","오리길","-","직거래","-"
"125","부산광역시 사하구 감천동","6**","단독","8m미만","130.84","179.00","202507","11","6,000","개인","개인","1979","감천로21번길","-","중개거래","부산 사하구"
"126","부산광역시 사상구 덕포동","7**","다가구","8m미만","198.13","183.30","202507","11","30,000","개인","개인","1990","백양대로762번길","-","중개거래","부산 사상구"
"127","부산광역시 영도구 신선동3가","*","단독","8m미만","33.32","55.00","202507","11","4,800","개인","개인","1900","개나리길","-","직거래","-"
"128","부산광역시 금정구 서동","2**","다가구","8m미만","131.15","154.90","202507","11","20,000","개인","개인","1977","서동중심로","-","중개거래","부산 금정구"
"129","부산광역시 중구 대청동4가","6*","단독","8m미만","51.34","36.70","202507","10","3,300","개인","개인","1994","대청북길33번길","-","중개거래","부산 중구"
"130","부산광역시 동래구 온천동","1***","단독","8m미만","125.94","121.00","202507","10","38,000","개인","개인","1978","충렬대로126번길","-","중개거래","부산 동래구"
"131","부산광역시 해운대구 우동","2**","다가구","8m미만","148.94","132.00","202507","10","97,500","개인","개인","1994","우동3로","-","중개거래","부산 연제구, 부산 해운대구"
"132","부산광역시 연제구 연산동","3**","단독","12m미만","151.26","136.00","202507","10","60,500","개인","개인","1986","안연로7번길","-","중개거래","부산 연제구"
"133","부산광역시 북구 구포동","7**","단독","8m미만","205.86","104.70","202507","10","33,000","개인","개인","2018","시랑로48번길","-","중개거래","부산 금정구"
"134","부산광역시 기장군 정관읍 용수리","1***","다가구","12m미만","340.13","226.90","202507","09","74,000","개인","개인","2011","가동1길","-","중개거래","부산 기장군"
