NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
328,부산광역시 부산진구 범천동,886-41,886.0,41.0,범일역이즈,전세,58.6293,202508,"24,000",4.0,2019.0,범일로131번길 46,202509~202709,아파트,부산광역시 부산진구 범천동 범일로131번길 46,27000
331,부산광역시 영도구 동삼동,510-2,510.0,2.0,절영아파트(208동-214동),전세,46.27,202508,"8,500",13.0,1995.0,와치로 231,202509~202709,아파트,부산광역시 영도구 동삼동 와치로 231,8500
332,부산광역시 영도구 동삼동,1124,1124.0,0.0,함지그린,전세,57.09,202508,"10,500",5.0,1994.0,함지로 8,202509~202709,아파트,부산광역시 영도구 동삼동 함지로 8,17700
337,부산광역시 부산진구 양정동,458-20,458.0,20.0,현대2차,전세,84.99,202508,"25,000",22.0,1998.0,거제대로 37,202509~202709,아파트,부산광역시 부산진구 양정동 거제대로 37,37500
342,부산광역시 부산진구 개금동,53,53.0,0.0,개금주공2,전세,41.3,202508,"9,000",10.0,1988.0,백양관문로 7,202509~202708,아파트,부산광역시 부산진구 개금동 백양관문로 7,23500
344,부산광역시 동래구 낙민동,288-29,288.0,29.0,동서허브H,전세,49.53,202508,"15,000",5.0,2017.0,충렬대로256번가길 25,202510~202710,아파트,부산광역시 동래구 낙민동 충렬대로256번가길 25,18500
346,부산광역시 동래구 명장동,617,617.0,0.0,동래동일스위트,전세,67.8923,202508,"25,000",15.0,2018.0,시실로 119,202509~202709,아파트,부산광역시 동래구 명장동 시실로 119,31000
347,부산광역시 부산진구 가야동,669-9,669.0,9.0,벽산2,전세,84.99,202508,"18,000",14.0,1992.0,엄광로 68,202509~202709,아파트,부산광역시 부산진구 가야동 엄광로 68,23900
348,부산광역시 동래구 수안동,106-1,106.0,1.0,반도보라,전세,81.09,202508,"15,000",3.0,1984.0,충렬대로238번가길 58,202510~202710,아파트,부산광역시 동래구 수안동 충렬대로238번가길 58,30500
353,부산광역시 부산진구 당감동,516,516.0,0.0,개금주공3단지,전세,41.3,202508,"8,000",3.0,1989.0,백양관문로 10,202508~202708,아파트,부산광역시 부산진구 당감동 백양관문로 10,14000
365,부산광역시 남구 용호동,954,954.0,0.0,더블유,전세,110.2606,202508,"85,000",47.0,2018.0,분포로 145,202510~202710,아파트,부산광역시 남구 용호동 분포로 145,172000
